"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 08 20:30:36 EET 2023","Sat Apr 08 20:30:42 EET 2023","5750","UserGroupType Test Suite","UserGroupType Test","Page.userGroupTypeServices.DeleteUserGroupType","Page.userGroupTypeServices.DeleteUserGroupType","DeleteUserGroupTypeByIdAPITest","DeleteUserGroupTypeByIdAPITest",""
"broken","Sat Apr 08 20:30:05 EET 2023","Sat Apr 08 20:30:11 EET 2023","5955","UserGroupType Test Suite","UserGroupType Test","Page.userGroupTypeServices.GetUserGroupType","Page.userGroupTypeServices.GetUserGroupType","GetUserGroupTypeByIdAPINegativeTest","GetUserGroupTypeByIdAPINegativeTest",""
"broken","Sat Apr 08 20:30:30 EET 2023","Sat Apr 08 20:30:36 EET 2023","5883","UserGroupType Test Suite","UserGroupType Test","Page.userGroupTypeServices.PutUserGroupType","Page.userGroupTypeServices.PutUserGroupType","PutUserGroupTypeNegativeAPITest","PutUserGroupTypeNegativeAPITest",""
"passed","Sat Apr 08 00:33:51 EET 2023","Sat Apr 08 00:34:00 EET 2023","9412","Default Suite","cproject_api","Page.organizationStatusServices.MethodGet","Page.organizationStatusServices.MethodGet","ZGetAllOrganizationStatus","ZGetAllOrganizationStatus",""
"passed","Sat Apr 08 00:32:31 EET 2023","Sat Apr 08 00:32:38 EET 2023","7313","Default Suite","cproject_api","Page.organizationStatusServices.MethodPost","Page.organizationStatusServices.MethodPost","GetAllOrganizationStatus","GetAllOrganizationStatus",""
"passed","Sat Apr 08 00:33:35 EET 2023","Sat Apr 08 00:33:43 EET 2023","7442","Default Suite","cproject_api","Page.organizationStatusServices.MethodDelete","Page.organizationStatusServices.MethodDelete","organization_status_delete_selected","organization_status_delete_selected",""
"passed","Sat Apr 08 20:30:25 EET 2023","Sat Apr 08 20:30:30 EET 2023","5952","UserGroupType Test Suite","UserGroupType Test","Page.userGroupTypeServices.PutUserGroupType","Page.userGroupTypeServices.PutUserGroupType","PutUserGroupTypeAPITest","PutUserGroupTypeAPITest",""
"passed","Sat Apr 08 20:30:18 EET 2023","Sat Apr 08 20:30:25 EET 2023","6709","UserGroupType Test Suite","UserGroupType Test","Page.userGroupTypeServices.PostUserGroupType","Page.userGroupTypeServices.PostUserGroupType","PostUserGroupTypeAPITest","PostUserGroupTypeAPITest",""
"passed","Sat Apr 08 20:29:56 EET 2023","Sat Apr 08 20:30:05 EET 2023","8798","UserGroupType Test Suite","UserGroupType Test","Page.userGroupTypeServices.GetUserGroupType","Page.userGroupTypeServices.GetUserGroupType","GetAllUserGroupTypeAPITest","GetAllUserGroupTypeAPITest",""
"passed","Fri Apr 07 20:51:14 EET 2023","Fri Apr 07 20:51:42 EET 2023","27853","My Test Suite","My Test","Page.organizationStatusServices.MethodGet","Page.organizationStatusServices.MethodGet","GetOrganizationStatusByid","GetOrganizationStatusByid",""
"passed","Sat Apr 08 20:30:11 EET 2023","Sat Apr 08 20:30:18 EET 2023","6885","UserGroupType Test Suite","UserGroupType Test","Page.userGroupTypeServices.GetUserGroupType","Page.userGroupTypeServices.GetUserGroupType","GetUserGroupTypeByIdAPITest","GetUserGroupTypeByIdAPITest",""
